"","cluster","RPS15","NDUFB7","RPS9","RPL13","RPLP2","FAU"
"TCGA.A8.A07B",2,292.306921774526,385.462430424971,554.379816217932,165.92698010543,917.393653266892,237.271076284125
"TCGA.A8.A07I",2,304.788744537317,243.319938794136,221.340059169195,201.010922407917,371.560933914736,218.662937878795
"TCGA.A8.A07P",2,763.05203873568,649.522820974115,643.399294676661,331.930227032973,1485.05409109085,711.648235301053
"TCGA.A8.A08B",2,439.073032490702,329.552451135918,519.869612076012,318.995637190301,1256.33118519847,486.411820191732
"TCGA.A8.A08C",2,477.796688892288,221.920594495992,439.236746714451,351.834497899577,1303.88071804905,412.530565344358
"TCGA.A8.A08G",2,323.753769976203,280.533535619968,254.598356151263,211.806024420236,2165.69219009854,309.968102237519
"TCGA.A8.A08H",2,439.760641303805,382.191427874306,701.268738328013,491.988192667987,1557.94581351624,668.49720057461
"TCGA.A8.A08P",2,358.362065589737,253.124628687598,313.920771661353,304.4491458552,732.556371331819,641.50531334737
"TCGA.A8.A08S",2,268.070075277235,326.193556180794,373.382083966858,199.011791445556,740.019932679771,410.225616328585
"TCGA.A8.A08T",2,637.194213093374,251.755663828433,609.003914645609,451.205339893932,1235.41700948784,416.632264871274
"TCGA.A8.A090",2,257.144719823269,329.38275593572,262.424250215549,160.701668302127,652.216840788563,410.830567857269
"TCGA.A8.A097",2,196.298603511904,408.116558608348,355.07406100629,200.99491308426,673.037879730171,286.08011394044
"TCGA.A8.A099",2,350.3405849317,364.874736024578,289.584511098455,198.782886662201,657.875019250364,460.37677697133
"TCGA.A8.A09E",2,744.13897513176,795.482086738004,508.78683775883,399.55485956772,923.63563520205,4755.40358072959
"TCGA.A8.A09G",2,228.832448053318,286.142928609373,329.588205823282,188.513059733398,912.92184932964,430.694480394877
"TCGA.A8.A09I",2,363.077067556343,257.839893838263,305.361526412947,448.422476369472,553.514048010803,476.230279506685
"TCGA.A8.A09N",2,499.496407148302,264.351253410433,454.632968250071,306.256062042111,982.360868883515,605.628584000674
"TCGA.A8.A0AB",2,302.759593860999,276.705835115575,332.91933852009,235.087505013239,362.346027744751,418.808582076126
"TCGA.AC.A23C",2,104.998874342988,225.063350508733,213.015338273927,128.427806632049,606.957102206934,208.756292488792
"TCGA.AC.A23H",2,339.969014321795,350.107014812062,278.091970964656,325.960611704253,655.515153001522,653.43047364852
"TCGA.AC.A2FB",2,423.532192646531,261.182861303749,580.512913499201,383.246810956853,1128.3672508273,575.872080802524
"TCGA.AC.A3QQ",2,61.8729905449229,7.82220136627043,33.6075486153012,47.1754024104307,86.1170355224112,35.6257627231393
"TCGA.AN.A03X",2,821.311424445779,762.558540111176,616.931864739862,459.480886802661,1238.53649110261,620.080676606289
"TCGA.AN.A041",2,225.189190219144,280.568617879395,419.592939331825,261.110850884006,694.682973249361,522.67248195816
"TCGA.AN.A0AJ",2,384.139620162507,212.019706839097,520.113571083061,460.704067664312,1568.32383303523,634.454264723184
"TCGA.AN.A0FJ",2,167.653808637788,393.089918487229,606.719384693145,1184.3858850847,1506.07723462691,801.978873095011
"TCGA.AN.A0FK",2,578.753581847905,699.346072420131,905.840306331164,417.63933521173,1333.42655032519,1011.48265753987
"TCGA.AN.A0FN",2,382.196730836621,263.492022192208,616.731580369445,465.850873107165,915.508068309972,700.467957535687
"TCGA.AN.A0FS",2,498.160720785608,277.951810097106,786.533134611593,431.812701132594,1219.42332949557,665.834806307265
"TCGA.AN.A0FZ",2,251.130884120693,268.686330706048,353.551034871756,217.65644088324,685.609215582859,378.174695726505
"TCGA.AN.A0XP",2,415.386700315159,316.87891923955,341.160964371801,239.673379614627,875.174814358658,478.610933900238
"TCGA.AN.A0XV",2,306.23357806952,220.65319211893,324.667241805922,470.213166175131,933.785419559293,385.658914594933
"TCGA.AN.A0XW",2,379.66840498969,469.629976082816,319.977482830527,457.588534190367,1117.25672734931,367.126850612993
"TCGA.AQ.A0Y5",2,160.701781870647,125.471292655536,288.237731336695,358.53451885989,749.278313498212,436.193831562542
